id,kaz_text,kaz_url,kaz_domain,kaz_topic,kaz_has_image,kaz_has_hyperlink,kaz_split,rus_text,rus_url,rus_domain,rus_topic,rus_has_image,rus_has_hyperlink,rus_split,eng_text,eng_url,eng_domain,eng_topic,eng_has_image,eng_has_hyperlink,eng_split,cmn_text,cmn_url,cmn_domain,cmn_topic,cmn_has_image,cmn_has_hyperlink,cmn_split
0,Дүйсенбі күні Стэнфорд университетінің медицина факультетінің ғалымдары жасушаларды түрі бойынша сұрыптай алатын жаңа диагностикалық құралды ойлап тапқанын жариялады: бұл әрбірін шамамен бір АҚШ центке стандартты сиялы принтерлерді пайдаланып өндіруге болатын өте кішкентай басып шығаруға болатын чип.,https://en.wikinews.org/wiki/Scientists_say_new_medical_diagnostic_chip_can_sort_cells_anywhere_with_an_inkjet,wikinews,health,yes,yes,dev,"В понедельник ученые из Медицинской школы Стэнфордского университета объявили об изобретении нового диагностического инструмента, который может сортировать клетки по их типу; это маленький чип, который можно напечатать, используя стандартный струйный принтер примерно за 1 цент США.",https://en.wikinews.org/wiki/Scientists_say_new_medical_diagnostic_chip_can_sort_cells_anywhere_with_an_inkjet,wikinews,health,yes,yes,dev,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",https://en.wikinews.org/wiki/Scientists_say_new_medical_diagnostic_chip_can_sort_cells_anywhere_with_an_inkjet,wikinews,health,yes,yes,dev,周一，斯坦福大学医学院的科学家宣布，他们发明了一种可以将细胞按类型分类的新型诊断工具：一种可打印的微型芯片。这种芯片可以使用标准喷墨打印机制造，每片价格可能在一美分左右。,https://en.wikinews.org/wiki/Scientists_say_new_medical_diagnostic_chip_can_sort_cells_anywhere_with_an_inkjet,wikinews,health,yes,yes,dev
1,"Жетекші зерттеушілердің айтуынша бұл сүт безінің қатерлі ісігі сияқты аурулардан сауығу көрсеткіші дамыған елдердегі көрсеткіштен екі есе төмен кедей мемлекеттердегі емделушілерде қатерлі ісік, туберкулез, АИТВ және безгек ауруларының ерте пайда болуына әкелуі мүмкін.",https://en.wikinews.org/wiki/Scientists_say_new_medical_diagnostic_chip_can_sort_cells_anywhere_with_an_inkjet,wikinews,health,yes,yes,dev,"Ведущие исследователи утверждают, что он может помочь в раннем выявлении рака, туберкулеза, ВИЧ и малярии у пациентов в странах с низким уровнем дохода, где показатели выживаемости при таких болезнях, как рак молочной железы, могут быть в два раза ниже, чем в более богатых странах.",https://en.wikinews.org/wiki/Scientists_say_new_medical_diagnostic_chip_can_sort_cells_anywhere_with_an_inkjet,wikinews,health,yes,yes,dev,"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.",https://en.wikinews.org/wiki/Scientists_say_new_medical_diagnostic_chip_can_sort_cells_anywhere_with_an_inkjet,wikinews,health,yes,yes,dev,主要研究人员表示，这可以让低收入国家/地区的患者尽早发现癌症、肺结核、艾滋病和疟疾。在这些国家/地区，乳腺癌等疾病的生存率可能仅为富裕国家的一半。,https://en.wikinews.org/wiki/Scientists_say_new_medical_diagnostic_chip_can_sort_cells_anywhere_with_an_inkjet,wikinews,health,yes,yes,dev
2,"JAS 39C Gripen ұшағы жергілікті уақытпен (0230 UTC) шамамен 9:30-да ұшып-қону жолағында апатқа ұшырап, жарылды. Мұның салдарынан әуежайда коммерциялық рейстер жабылды.",https://en.wikinews.org/wiki/Fighter_jet_crashes_during_Children%27s_Day_airshow_in_Thailand,wikinews,accident,yes,yes,dev,Приблизительно в 9:30 по местному времени (02:30 UTC) JAS 39C Gripen упал на взлетно-посадочную полосу и взорвался. Аэропорт пришлось закрыть для коммерческих рейсов.,https://en.wikinews.org/wiki/Fighter_jet_crashes_during_Children%27s_Day_airshow_in_Thailand,wikinews,accident,yes,yes,dev,"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.",https://en.wikinews.org/wiki/Fighter_jet_crashes_during_Children%27s_Day_airshow_in_Thailand,wikinews,accident,yes,yes,dev,当地时间上午 9:30 左右 (UTC 0230)，JAS 39C 鹰狮战斗机撞上跑道并发生爆炸，导致机场关闭，商业航班无法正常起降。,https://en.wikinews.org/wiki/Fighter_jet_crashes_during_Children%27s_Day_airshow_in_Thailand,wikinews,accident,yes,yes,dev
3,Ұшқыштың эскадрилья жетекшісі Дилокрит Паттави екені анықталды.,https://en.wikinews.org/wiki/Fighter_jet_crashes_during_Children%27s_Day_airshow_in_Thailand,wikinews,accident,yes,yes,dev,Личность пилота была установлена. Им оказался командир эскадрильи Дилокрит Паттави.,https://en.wikinews.org/wiki/Fighter_jet_crashes_during_Children%27s_Day_airshow_in_Thailand,wikinews,accident,yes,yes,dev,The pilot was identified as Squadron Leader Dilokrit Pattavee.,https://en.wikinews.org/wiki/Fighter_jet_crashes_during_Children%27s_Day_airshow_in_Thailand,wikinews,accident,yes,yes,dev,涉事飞行员是空军中队长迪罗里·帕塔维 (Dilokrit Pattavee)。,https://en.wikinews.org/wiki/Fighter_jet_crashes_during_Children%27s_Day_airshow_in_Thailand,wikinews,accident,yes,yes,dev
4,Жергілікті ақпарат құралдары  әуежайдағы өрт сөндіру көлігі жауап беру кезінде аударылып қалғаны жөнінде хабарлайды.,https://en.wikinews.org/wiki/Fighter_jet_crashes_during_Children%27s_Day_airshow_in_Thailand,wikinews,accident,yes,yes,dev,"Местные СМИ сообщают, что в аэропорту по пути на вызов перевернулась пожарная машина.",https://en.wikinews.org/wiki/Fighter_jet_crashes_during_Children%27s_Day_airshow_in_Thailand,wikinews,accident,yes,yes,dev,Local media reports an airport fire vehicle rolled over while responding.,https://en.wikinews.org/wiki/Fighter_jet_crashes_during_Children%27s_Day_airshow_in_Thailand,wikinews,accident,yes,yes,dev,当地媒体报道，一辆机场消防车在响应火警时翻了车。,https://en.wikinews.org/wiki/Fighter_jet_crashes_during_Children%27s_Day_airshow_in_Thailand,wikinews,accident,yes,yes,dev
5,28 жастағы Видаль «Севильядан» «Барсаға» үш маусым бұрын келген.,https://en.wikinews.org/wiki/Spanish_football:_Sevilla_signs_Aleix_Vidal_from_FC_Barcelona,wikinews,sports,yes,yes,dev,"28-летний Алеш Видаль перешел в ""Барсу"" из ""Севильи"" три сезона назад.",https://en.wikinews.org/wiki/Spanish_football:_Sevilla_signs_Aleix_Vidal_from_FC_Barcelona,wikinews,sports,yes,yes,dev,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",https://en.wikinews.org/wiki/Spanish_football:_Sevilla_signs_Aleix_Vidal_from_FC_Barcelona,wikinews,sports,yes,yes,dev,三个赛季前，28岁的比达尔（Vidal）从塞维利亚队加盟巴萨。,https://en.wikinews.org/wiki/Spanish_football:_Sevilla_signs_Aleix_Vidal_from_FC_Barcelona,wikinews,sports,yes,yes,dev
6,Каталонияның астанасына көшкеннен кейін Видал осы клубтың 49 ойынында ойнады.,https://en.wikinews.org/wiki/Spanish_football:_Sevilla_signs_Aleix_Vidal_from_FC_Barcelona,wikinews,sports,yes,yes,dev,После переезда в столицу Каталонии  Видаль провел за клуб 49 матчей.,https://en.wikinews.org/wiki/Spanish_football:_Sevilla_signs_Aleix_Vidal_from_FC_Barcelona,wikinews,sports,yes,yes,dev,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.",https://en.wikinews.org/wiki/Spanish_football:_Sevilla_signs_Aleix_Vidal_from_FC_Barcelona,wikinews,sports,yes,yes,dev,自从转会到加泰罗尼亚的首府球队，维达尔已经为俱乐部踢了 49 场比赛。,https://en.wikinews.org/wiki/Spanish_football:_Sevilla_signs_Aleix_Vidal_from_FC_Barcelona,wikinews,sports,yes,yes,dev
7,Наразылық жергілікті уақытпен 11:00 (UTC + 1) шамасында премьер-министрдің ресми резиденция болған Даунинг-стриттің полиция күзетуші кіреберісіне қарсы Уайтхоллда бастау алды.,https://en.wikinews.org/wiki/Thousands_march_in_London_calling_for_David_Cameron%27s_resignation_over_tax_affairs,wikinews,politics,yes,yes,dev,"Протест начался около 11:00 по местному времени (UTC+1) на улице Уайтхолл напротив охраняемого полицией въезда на Даунинг-стрит, официальную резиденцию премьер-министра.",https://en.wikinews.org/wiki/Thousands_march_in_London_calling_for_David_Cameron%27s_resignation_over_tax_affairs,wikinews,politics,yes,yes,dev,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.",https://en.wikinews.org/wiki/Thousands_march_in_London_calling_for_David_Cameron%27s_resignation_over_tax_affairs,wikinews,politics,yes,yes,dev,抗议活动于当地时间 11:00 (UTC+1) 左右在白厅 (Whitehall) 开始，白厅对面是首相官邸唐宁街的入口处，由警察看守。,https://en.wikinews.org/wiki/Thousands_march_in_London_calling_for_David_Cameron%27s_resignation_over_tax_affairs,wikinews,politics,yes,yes,dev
8,Тура 11:00-ден кейін ереуілшілер Уайтхоллдағы солтүстік жеңіл арба жолындағы жол қозғалысын бөгеді.,https://en.wikinews.org/wiki/Thousands_march_in_London_calling_for_David_Cameron%27s_resignation_over_tax_affairs,wikinews,politics,yes,yes,dev,Сразу после 11:00 протестующие перекрыли движение в северном направлении по Уайтхоллу.,https://en.wikinews.org/wiki/Thousands_march_in_London_calling_for_David_Cameron%27s_resignation_over_tax_affairs,wikinews,politics,yes,yes,dev,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",https://en.wikinews.org/wiki/Thousands_march_in_London_calling_for_David_Cameron%27s_resignation_over_tax_affairs,wikinews,politics,yes,yes,dev,11 点刚过，抗议者便堵住了白厅北行车道的交通。,https://en.wikinews.org/wiki/Thousands_march_in_London_calling_for_David_Cameron%27s_resignation_over_tax_affairs,wikinews,politics,yes,yes,dev
9,"11:20 уақытында полиция қарсылық білдіру құқығын және жолда көліктердің жиналуын теңестіру қажеттігі туралы айтып, наразылық білдірушілердің жаяужолға оралуын сұрады.",https://en.wikinews.org/wiki/Thousands_march_in_London_calling_for_David_Cameron%27s_resignation_over_tax_affairs,wikinews,politics,yes,yes,dev,"В 11:20 полиция попросила митингующих вернуться на тротуар, заявив, что им необходимо соблюдать баланс между правом протестовать и задержкой дорожного движения.",https://en.wikinews.org/wiki/Thousands_march_in_London_calling_for_David_Cameron%27s_resignation_over_tax_affairs,wikinews,politics,yes,yes,dev,"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.",https://en.wikinews.org/wiki/Thousands_march_in_London_calling_for_David_Cameron%27s_resignation_over_tax_affairs,wikinews,politics,yes,yes,dev,11 点 20 分，警察要求抗议者退回到人行道，并告知抗议者，在行使抗议权利时，务必考虑到越来越拥堵的公共交通问题。,https://en.wikinews.org/wiki/Thousands_march_in_London_calling_for_David_Cameron%27s_resignation_over_tax_affairs,wikinews,politics,yes,yes,dev
